,0
slope_angle_deg,14.115684205064044
friction,0.7497835183591407
base_pos_x,0.03943473352667625
base_pos_y,-0.0012069233342253145
base_pos_z,0.5654667988630857
base_quat_w,0.9955702950372102
base_quat_x,-0.0005284701270711438
base_quat_y,-0.019821399615965976
base_quat_z,-0.0033597374031778633
robot_com_x,0.0647204550296885
robot_com_y,-0.0010240466771293641
robot_com_z,0.5094870242498318
system_com_x,0.0647204550296885
system_com_y,-0.0010240466771293641
system_com_z,0.5094870242498318
base_vel_x,0.4929398328367167
base_vel_y,-0.0072005013307393576
base_vel_z,-0.15095372444293367
base_ang_vel_x,-0.0032860969920951192
base_ang_vel_y,0.1772880177805582
base_ang_vel_z,0.00029020080422943636
projected_gravity_x,-0.04010510149057273
projected_gravity_y,0.0012912713081023224
projected_gravity_z,-0.9850921392177568
cmd_vel_x,0.2506125545133038
cmd_vel_y,-0.001390210025385301
cmd_yaw_rate,0.0027563173958009396
joint_pos_0,-0.4572352383252935
joint_vel_0,0.5593207662816683
joint_default_0,-0.10000000000000006
last_action_0,-1.7533248642682018
joint_pos_1,-0.010328843066775636
joint_vel_1,0.0034153037665709592
joint_default_1,0.0
last_action_1,3.189494905423486
joint_pos_2,-0.01911951010711006
joint_vel_2,-0.027985506136588824
joint_default_2,0.0
last_action_2,-2.15340597379022
joint_pos_3,0.9280953335273995
joint_vel_3,0.14141271751802648
joint_default_3,0.30000000000000004
last_action_3,2.7894829967310106
joint_pos_4,0.40484066388706075
joint_vel_4,0.303770159670642
joint_default_4,-0.20000000000000012
last_action_4,-5.99445248031012e-05
joint_pos_5,0.025687875568637945
joint_vel_5,0.10237038480064221
joint_default_5,0.0
last_action_5,0.00015407550499388876
joint_pos_6,-0.46028028161048384
joint_vel_6,0.5526733308876174
joint_default_6,-0.10000000000000006
last_action_6,0.5529722819106235
joint_pos_7,0.016431724160874815
joint_vel_7,0.021224645169922403
joint_default_7,0.0
last_action_7,-0.4020650349246759
joint_pos_8,0.01881739153389407
joint_vel_8,0.019783903065763116
joint_default_8,0.0
last_action_8,-0.5530678087459949
joint_pos_9,0.9298553089014893
joint_vel_9,0.14743973102430769
joint_default_9,0.30000000000000004
last_action_9,-1.6020266056563657
joint_pos_10,0.4050151372975866
joint_vel_10,0.3058603892448778
joint_default_10,-0.20000000000000012
last_action_10,-1.1999353242556174
joint_pos_11,-0.027593583135048345
joint_vel_11,-0.09825605279925363
joint_default_11,0.0
last_action_11,2.6799473190519927
joint_pos_12,-1.1929329784695053e-05
joint_vel_12,-0.001071421197086838
joint_default_12,0.0
last_action_12,-1.1987219780247205
joint_pos_13,0.00016741419985680087
joint_vel_13,0.0023948955622735395
joint_default_13,0.0
last_action_13,1.036651358413672
joint_pos_14,-0.04830052844093758
joint_vel_14,-0.06760769345261773
joint_default_14,0.0
last_action_14,0.7987453694537459
joint_pos_15,0.34063533637691745
joint_vel_15,0.08230208953199922
joint_default_15,0.30000000000000004
last_action_15,-1.2366003585004592
joint_pos_16,0.2260120494362438
joint_vel_16,-0.010470508743825444
joint_default_16,0.25
last_action_16,2.200238226088277
joint_pos_17,-0.004045229628477822
joint_vel_17,-0.004634194515762752
joint_default_17,0.0
last_action_17,0.600018972477562
joint_pos_18,0.987143796657241
joint_vel_18,0.003965746967866984
joint_default_18,0.9699999999999998
last_action_18,-8.684842589445204e-06
joint_pos_19,0.15002393160433644
joint_vel_19,9.990196645668942e-06
joint_default_19,0.15000000000000002
last_action_19,-1.0002237620580174
joint_pos_20,0.003689335498195547
joint_vel_20,-0.00019377644663662866
joint_default_20,0.0
last_action_20,3.879859981000804
joint_pos_21,-0.0008169314741554506
joint_vel_21,-0.0010704931980414988
joint_default_21,0.0
last_action_21,-3.8800049006321
joint_pos_22,0.3399456479724305
joint_vel_22,0.08652145808532641
joint_default_22,0.30000000000000004
last_action_22,-3.8798489250012653
joint_pos_23,-0.22596485076192066
joint_vel_23,0.0065347612986280355
joint_default_23,-0.25
last_action_23,0.4000101229595933
joint_pos_24,0.00411853658086773
joint_vel_24,0.004140214317742951
joint_default_24,0.0
last_action_24,0.5999531471804957
joint_pos_25,0.9871811297434713
joint_vel_25,0.0038651620175165803
joint_default_25,0.9699999999999998
last_action_25,1.1998928396567556
joint_pos_26,-0.15005072698146366
joint_vel_26,-3.460523689330219e-05
joint_default_26,-0.15000000000000002
last_action_26,5.771973110386276e-05
joint_pos_27,0.003687521262900577
joint_vel_27,-0.0002624849604755947
joint_default_27,0.0
last_action_27,-0.6001836247242694
joint_pos_28,0.0008210603172077618
joint_vel_28,0.001074927286665847
joint_default_28,0.0
last_action_28,0.00015193817847818385
force_mag,39.66199201556387
force_x,0.12736047812597187
force_y,0.41762433987372444
force_z,0.06302269959282264
force_app_x,0.03651405412637686
force_app_y,-0.0011865594167890124
force_app_z,0.5918017552994524
