,0
slope_angle_deg,8.360310395778297
friction,0.14445875667785243
base_pos_x,0.2356977974449387
base_pos_y,0.03397535429520084
base_pos_z,0.05932519674439614
base_quat_w,0.009138362641347389
base_quat_x,0.025306304902393956
base_quat_y,0.08012727246388641
base_quat_z,0.0359313672050036
robot_com_x,0.20091680661095207
robot_com_y,0.030922757956781854
robot_com_z,0.04984266460168761
system_com_x,0.20091680661095207
system_com_y,0.030922757956781854
system_com_z,0.04984266460168761
base_vel_x,0.9696159380692373
base_vel_y,0.1350514529497447
base_vel_z,0.7360580189361889
base_ang_vel_x,0.8411689644308158
base_ang_vel_y,4.725286622317621
base_ang_vel_z,0.7188870354227818
projected_gravity_x,0.15662533409680793
projected_gravity_y,0.05072799826995955
projected_gravity_z,0.02964232195967508
cmd_vel_x,0.4304589089402972
cmd_vel_y,0.17182352936562134
cmd_yaw_rate,0.1161347631960446
joint_pos_0,0.35068253104402414
joint_vel_0,6.249238472023703
joint_default_0,1.0
last_action_0,2.3719288319877005
joint_pos_1,0.10304243447022306
joint_vel_1,2.3074362717442263
joint_default_1,1.0
last_action_1,0.4525714492036714
joint_pos_2,0.10390126087695627
joint_vel_2,2.603749590655358
joint_default_2,1.0
last_action_2,2.3719430247582505
joint_pos_3,0.2809127383574321
joint_vel_3,4.0224639212100355
joint_default_3,1.0
last_action_3,0.45260142836928646
joint_pos_4,0.294174606186694
joint_vel_4,3.6416776483285704
joint_default_4,1.0
last_action_4,0.011474088609735207
joint_pos_5,0.06416796145399505
joint_vel_5,1.2701532354932683
joint_default_5,1.0
last_action_5,0.011398204025134138
joint_pos_6,0.3472673925778948
joint_vel_6,6.159699011304141
joint_default_6,1.0
last_action_6,3.854973072827427
joint_pos_7,0.09462003883190648
joint_vel_7,2.2549089711730166
joint_default_7,1.0
last_action_7,1.8886357487031602
joint_pos_8,0.10694541562948141
joint_vel_8,2.586721573230951
joint_default_8,1.0
last_action_8,3.854923449127533
joint_pos_9,0.2809103018060766
joint_vel_9,4.001724734055044
joint_default_9,1.0
last_action_9,1.8886153286703762
joint_pos_10,0.2931496180667292
joint_vel_10,3.6430462129319254
joint_default_10,1.0
last_action_10,0.011463784184722792
joint_pos_11,0.06795121283533026
joint_vel_11,1.2363055909710758
joint_default_11,1.0
last_action_11,0.011520481299715255
joint_pos_12,0.01031162376617194
joint_vel_12,0.41191092066467827
joint_default_12,1.0
last_action_12,0.05693779924243311
joint_pos_13,0.029479049896892415
joint_vel_13,0.42352697944058265
joint_default_13,1.0
last_action_13,0.801349590765357
joint_pos_14,0.16153931544362857
joint_vel_14,6.459472878045887
joint_default_14,1.0
last_action_14,0.056856463341552116
joint_pos_15,0.09030379116653843
joint_vel_15,1.6564030939166399
joint_default_15,1.0
last_action_15,0.8013464104034391
joint_pos_16,0.012116477840282209
joint_vel_16,0.27467444710787087
joint_default_16,1.0
last_action_16,0.011429121607887577
joint_pos_17,0.002442033360232357
joint_vel_17,0.05574999018717369
joint_default_17,1.0
last_action_17,0.011313308167056273
joint_pos_18,0.014762728708840314
joint_vel_18,0.30850243152015805
joint_default_18,1.0
last_action_18,0.011449625082543451
joint_pos_19,0.001311201624006583
joint_vel_19,0.0046854768091865616
joint_default_19,1.0
last_action_19,0.011507565817459884
joint_pos_20,0.003632230325824225
joint_vel_20,0.08121591794458406
joint_default_20,1.0
last_action_20,0.01141417383580799
joint_pos_21,0.0014903426334428084
joint_vel_21,0.009647383790974025
joint_default_21,1.0
last_action_21,0.011354174297793267
joint_pos_22,0.08440320950799027
joint_vel_22,1.6269772313554183
joint_default_22,1.0
last_action_22,0.011368441610303861
joint_pos_23,0.012787458177870251
joint_vel_23,0.2962989231537868
joint_default_23,1.0
last_action_23,0.011436285715288992
joint_pos_24,0.0024997245041045836
joint_vel_24,0.057827029522798834
joint_default_24,1.0
last_action_24,0.011453453075779168
joint_pos_25,0.014691881481094656
joint_vel_25,0.30888315965016133
joint_default_25,1.0
last_action_25,0.011563114349339298
joint_pos_26,0.0013321520289037336
joint_vel_26,0.00469201614189334
joint_default_26,1.0
last_action_26,0.011416363643163905
joint_pos_27,0.0036062107313572737
joint_vel_27,0.08213413798493045
joint_default_27,1.0
last_action_27,0.011405547478613071
joint_pos_28,0.0014953821573130655
joint_vel_28,0.010525681832685391
joint_default_28,1.0
last_action_28,0.01142521275329627
force_mag,23.211226967406745
force_x,26.66726473648601
force_y,26.173003670867573
force_z,26.748394726377352
force_app_x,0.2388397620930369
force_app_y,0.03572398534401726
force_app_z,0.0653828432906653
